Model name,Dataset ID,Dataset name,Adj. Best F1,rAUCROC,rAUCPR,VUSROC,VUSPR,Run name,ID,Timestamp
BETT_0,109,1sddb40,0.5550620202504245,0.7412181059883467,0.0580862983060308,0.736391783586068,0.056517206015047,BETT_0,0,16-01-2024 17:12
BETT_0,112,BIDMC1,0.9999949500250024,0.5791283133078827,0.0798150244256609,0.55898073167827,0.0800180149007046,BETT_0,0,16-01-2024 17:12
BETT_0,115,CIMIS44AirTemperature3,0.9999945833585068,0.7506072005696522,0.145965064593365,0.738307596857578,0.1470689125433036,BETT_0,0,16-01-2024 17:12
BETT_0,117,CIMIS44AirTemperature5,0.9896855181462446,0.7590570181593531,0.1337479668468457,0.7513472765653417,0.1342665374594324,BETT_0,0,16-01-2024 17:12
BETT_0,120,ECG2,0.9999949000250098,0.7731692276106349,0.0562948864693246,0.7410448017621367,0.0519939179666572,BETT_0,0,16-01-2024 17:12
BETT_0,121,ECG3,0.81300323884149,0.7264853607228673,0.0230046711063183,0.7026204469812559,0.021278350858965,BETT_0,0,16-01-2024 17:13
BETT_0,130,GP711MarkerLFM5z4,0.8082143066528091,0.6198850962275642,0.034236279144001,0.627185005998702,0.0348701435638071,BETT_0,0,16-01-2024 17:13
BETT_0,131,GP711MarkerLFM5z5,0.693328757362868,0.779319613209934,0.0636774857695984,0.7584499106002456,0.0609250736385387,BETT_0,0,16-01-2024 17:13
BETT_0,140,InternalBleeding4,0.9958225106593692,0.6667570384606516,0.1340650951442166,0.6453177014437601,0.1290410398266523,BETT_0,0,16-01-2024 17:13
BETT_0,141,InternalBleeding5,0.999994941201474,0.5635692986324802,0.1141727872143499,0.5968541646962671,0.1367615321894503,BETT_0,0,16-01-2024 17:13
BETT_0,149,Lab2Cmac011215EPG5,0.9737777020554088,0.6416182581690056,0.0178070380180452,0.6239528015922642,0.0169975580631316,BETT_0,0,16-01-2024 17:13
BETT_0,150,Lab2Cmac011215EPG6,0.0918154908948154,0.4996065530087803,0.0137621718629632,0.4787716810831912,0.0136240602971211,BETT_0,0,16-01-2024 17:13
BETT_0,151,MesoplodonDensirostris,0.9142806988024522,0.7212717138635993,0.0353900226537674,0.7265154364516947,0.0380197691126413,BETT_0,0,16-01-2024 17:13
BETT_0,152,PowerDemand1,0.262292800982121,0.54690324265322,0.0239350910992816,0.5222698410663016,0.0240189165555907,BETT_0,0,16-01-2024 17:13
BETT_0,157,TkeepFirstMARS,0.0789466059625161,0.5452779299318632,0.0029615755771791,0.5700931995573706,0.0033015567533354,BETT_0,0,16-01-2024 17:13
BETT_0,159,TkeepSecondMARS,0.9523750567163156,0.964804629383044,0.0509157930643547,0.950374453426525,0.0472320298991307,BETT_0,0,16-01-2024 17:13
BETT_0,162,WalkingAceleration5,0.9999948305335032,0.8778648637437101,0.1334816262018949,0.8615416337410342,0.1243762739276736,BETT_0,0,16-01-2024 17:13
BETT_0,163,apneaecg2,0.9411709342827396,0.7672407741517167,0.0231576969998486,0.7517076756498379,0.0227655978333811,BETT_0,0,16-01-2024 17:13
BETT_0,166,apneaecg,0.2077902918012054,0.6771374532075296,0.0071328102267514,0.6947990675104032,0.0074100875965623,BETT_0,0,16-01-2024 17:13
BETT_0,167,gait1,0.7142809524103172,0.6687800155416513,0.0395090906063392,0.6522722838621954,0.0329942645796187,BETT_0,0,16-01-2024 17:13
BETT_0,170,gaitHunt1,0.4999960227543645,0.637052095660085,0.0073344411220717,0.63953405492277,0.0076344675149304,BETT_0,0,16-01-2024 17:13
BETT_0,174,insectEPG2,0.1086946195745923,0.6002646757095578,0.0070584975995254,0.5726998110309482,0.0067284796020097,BETT_0,0,16-01-2024 17:13
BETT_0,176,insectEPG4,0.99999480002504,0.7128943906955965,0.0765150842815397,0.7004889633355661,0.0728879581095266,BETT_0,0,16-01-2024 17:13
BETT_0,179,ltstdbs30791AS,0.99999450002525,0.7512876652397841,0.1563440375710463,0.7569710365934963,0.1629839484099426,BETT_0,0,16-01-2024 17:13
BETT_0,180,ltstdbs30791ES,0.0,,,,,BETT_0,0,16-01-2024 17:13
BETT_0,181,park3m,0.5599958784287348,0.7641626018932579,0.0447293440573343,0.7458903495128162,0.0438171184454054,BETT_0,0,16-01-2024 17:13
BETT_0,182,qtdbSel1005V,0.5694402922742577,0.6601301298353959,0.0276574404824488,0.6415344796594844,0.0267743097618274,BETT_0,0,16-01-2024 17:13
BETT_0,183,qtdbSel100MLII,0.7843088043349532,0.5866623494044388,0.0293753356996628,0.5824980448408716,0.030542922699061,BETT_0,0,16-01-2024 17:13
